"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_MDR_N","MDR","MDR","MDR","MDR","МДР","MDR","MDR","D","MDR","MDR","磁共振","MDRについて","MDR",
"STR_BC_MDR_N_T","MDR | Tan","MDR | Tan","MDR CLAND124; Tan","MDR | Tan","МДР - Тан","MDR Y124; Tan","MDR 124; Tan","MDR | Tan","MDR ⋅ Tan","Tan","MDR 谭","MDR | タン","MDR",
"STR_BC_MDR_D","The Desert Tech MDR (5.56x45)is a gas operated, conventional rotary bolt bullpup rifle. The gas system features a gas piston located above the barrel and a 6 position manual gas regulator. The MDR rifle is designed to be ambidextrous.","The Desert Tech MDR (5.56x45)is a gas operated, conventional rotary bolt bullpup rifle. The gas system features a gas piston located above the barrel and a 6 position manual gas regulator. The MDR rifle is designed to be ambidextrous.","Desert Tech MDR (5.56x45) je plynová, konvenční rotační bullpup. Plynový systém má píst umístěný nad barelem a 6 polohový ruční regulátor plynu. Puška MDR je navržena tak, aby byla oboustranná.","Die Desert Tech MDR (5.56x45) ist ein gasbetriebenes, konventionelles Drehbolzen-Stiergewehr. Das Gassystem verfügt über einen oberhalb des Laufs angeordneten Gaskolben und einen 6-Positions-Handgasregler. Das MDR-Gewehr ist als ambidextrous konzipiert.","Desert Tech MDR (5.56x45) - это газовая винтовка с вращающимся болтом. Газовая система имеет газовый поршень, расположенный над стволом, и ручной газовый регулятор 6 позиции. Винтовка MDR предназначена для амбидекстроя.","Desert Tech MDR (5.56x45) to automatyczny, obrotowy karabin wypychający. Układ gazowy wyposażony jest w tłok gazu znajdujący się nad lufą oraz ręczny regulator gazu o 6 pozycjach. Karabin MDR jest zaprojektowany, by być oburęczny.","A Desert Tech MDR (5.56x45) egy gázüzemű, hagyományos forgócsavaros bullup puska. A gázrendszer a cső felett elhelyezett gázdugattyúval és 6 helyzetjelző kézi gázszabályozóval rendelkezik. Az MDR puska kétéltű.","Il Desert Tech MDR (5.56x45) è un fucile bullpup azionato a gas, convenzionale. Il sistema a gas dispone di un pistone a gas situato sopra la canna e di un regolatore manuale a 6 posizioni del gas. Il fucile MDR è progettato per essere ambidextrous.","El Desert Tech MDR (5.56x45) es un rifle de topa de perno giratorio convencional operado por gas. El sistema de gas cuenta con un pistón de gas situado sobre el barril y un regulador manual de gas de 6 posiciones. El rifle MDR está diseñado para ser ambidextroso.","Le Desert Tech MDR (5.56x45) est un fusil à boulons rotatifs conventionnel fonctionnant au gaz. Le système à gaz est équipé d'un piston à gaz situé au-dessus du barillet et d'un régulateur manuel à 6 positions. Le fusil MDR est conçu pour être ambidextre.","Desert Tech MDR (5.56x45) 是一款运行的气体,常规旋转螺栓牛普步枪. 气体系统有一个位于枪管上方的活塞和一个6个位置的人工气体调节器。 MDR步枪的设计具有活泼性.","砂漠の技術MDR (5.56x45)は作動させた、従来の回転式ボルトBullpupのライフルです。 ガスシステムはバレルの上にあるガス ピストンおよび6の位置の手動ガスの調整装置を特色にします。 MDR のライフルは包丁であるように設計されています。","O Deserto Tech MDR (5.56x45) é um rifle bullpup de parafuso rotativo convencional operado a gás. O sistema de gás possui um pistão de gás localizado acima do barril e um regulador manual de gás de 6 posições. A espingarda MDR foi concebida para ser ambidestro.",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_SA58_N","SA-58","SA-58","SA- 58","SA-58","SA-58","SA- 58","SA- 58","SA-58","SA-58","SA-58","SA-58号卫星","SA-58の特長","SA-58",
"STR_BC_SA58_N_B","SA-58 | Black","SA-58 | Black","SA- 58 PHARMAN124; černá","SA-58 | Schwarz","SA-58 - черный","SA- 58","SA-58","SA-58 | Nero","SA-58","SA-58: Noir","SA-58 | 黑色","SA-58 | ブラック","SA-58",
"STR_BC_SA58_D","The SA58 is primarily a battle rifle chambered in 7.62x51mm (or .308 Winchester), based on the FN FAL design, and is known for its reliability, power, and flexibility for various roles, from assault to Designated Marksman Rifle (DMR) use. Created by DS Arms (DSA), the SA58 offers features like Picatinny rails, modern furniture, and an adjustable stock to modernize the original FAL platform for civilian and military applications.","The SA58 is primarily a battle rifle chambered in 7.62x51mm (or .308 Winchester), based on the FN FAL design, and is known for its reliability, power, and flexibility for various roles, from assault to Designated Marksman Rifle (DMR) use. Created by DS Arms (DSA), the SA58 offers features like Picatinny rails, modern furniture, and an adjustable stock to modernize the original FAL platform for civilian and military applications.","Sa58 je především bojová puška komora v 7.62x51mm (nebo .308 Winchester), na základě FN FAL design, a je známý pro svou spolehlivost, sílu a flexibilitu pro různé role, od útoku na určený Marksman Rifle (DMR) použití. Vytvořil DS Arms (DSA), SA58 nabízí funkce jako Picatinny kolejnice, moderní nábytek a nastavitelný zásobník pro modernizaci původní FAL platformy pro civilní a vojenské aplikace.","Die SA58 ist in erster Linie ein Schlachtgewehr in 7.62x51mm (oder .308 Winchester), basierend auf dem FN FAL-Design, und ist bekannt für seine Zuverlässigkeit, Leistung und Flexibilität für verschiedene Rollen, von Angriff auf Designated Marksman Rifle (DMR) verwenden. Das von DS Arms (DSA) geschaffene SA58 bietet Funktionen wie Picatinny-Schienen, moderne Möbel und einen verstellbaren Bestand, um die ursprüngliche FAL-Plattform für zivile und militärische Anwendungen zu modernisieren.","SA58 - это, прежде всего, боевая винтовка с патроном 7,62x51 мм (или .308 Winchester), основанная на конструкции FN FAL, и известна своей надежностью, мощностью и гибкостью для различных ролей, от штурма до использования винтовки маркиза (DMR). Созданный DS Arms (DSA), SA58 предлагает такие функции, как рельсы Picatinny, современная мебель и регулируемый запас для модернизации оригинальной платформы FAL для гражданских и военных применений.","SA58 jest przede wszystkim karabin bojowy wykorkowany w 7.62x51mm (lub .308 Winchester), w oparciu o projekt FN FAL, i jest znany z niezawodności, mocy i elastyczności dla różnych ról, od ataku na Wyznaczonego Strzelca Marksmana (DMR). Stworzony przez DS Arms (DSA), SA58 oferuje funkcje takie jak Picatinny szyny, nowoczesne meble i regulowane zasoby do modernizacji oryginalnej platformy FAL dla zastosowań cywilnych i wojskowych.","Az SA58 elsősorban a 7.62x51mm-es (vagy .308 Winchester) csatabárdot használja, az FN FAL design alapján, és a megbízhatóságáról, erejéről és rugalmasságáról ismert a különböző szerepek, a támadás a kijelölt Marksman Rifle (DMR) használata. A DS Arms (DSA) által létrehozott SA58 olyan funkciókat kínál, mint a Picatinny sínek, a modern bútorok, és egy állítható állomány, amely modernizálja az eredeti FAL platformot polgári és katonai alkalmazásokhoz.","La SA58 è principalmente un fucile da battaglia camerato in 7,62x51mm (o .308 Winchester), basato sul design FN FAL, ed è noto per la sua affidabilità, potenza e flessibilità per vari ruoli, dall'assalto al Designated Marksman Rifle (DMR). Creato da DS Arms (DSA), il SA58 offre caratteristiche come le guide Picatinny, i mobili moderni e uno stock regolabile per modernizzare la piattaforma FAL originale per applicazioni civili e militari.","El SA58 es principalmente un rifle de batalla en 7.62x51mm (o .308 Winchester), basado en el diseño FN FAL, y es conocido por su fiabilidad, potencia y flexibilidad para diversos roles, desde el asalto al uso de Marksman Rifle (DMR). Creado por DS Arms (DSA), el SA58 ofrece características como carriles Picatinny, muebles modernos y un stock ajustable para modernizar la plataforma FAL original para aplicaciones civiles y militares.","Le SA58 est principalement un fusil de combat encastré en 7,62x51mm (ou .308 Winchester), basé sur la conception FN FAL, et est connu pour sa fiabilité, sa puissance et sa flexibilité pour divers rôles, de l'assaut à l'utilisation du Marksman Rifle (DMR). Créée par DS Arms (DSA), la SA58 propose des éléments tels que des rails Picatinny, des meubles modernes et un stock réglable pour moderniser la plateforme FAL originale pour les applications civiles et militaires.","SA58主要是一款以7.62x51毫米(或308温彻斯特)为膛口的战斗步枪,以FN FAL设计而来,以从攻击到指定马克斯曼步枪(DMR)使用等各种角色的可靠性,功率和灵活性而出名. 由DS Arms (DSA)所创建,SA58提供Picatinny rails等功能,现代家具,以及可调整的库存,以现代化原FAL平台用于民用和军用.","SA58は、主にFN FAL設計に基づいて、7.62x51mm(または.308 Winchester)でチャンバーリングされた戦いのライフルで、その信頼性、電力、および様々なロールの柔軟性のために知られており、アサルトから指定のMarksman Rifle(DMR)の使用まで。 DS Arms(DSA)によって作られたSA58は、Picatinnyレール、モダンな家具、そして民間人や軍事用途のための元のFALプラットフォームを近代化するための調整可能な在庫などの機能を提供しています。","O SA58 é principalmente um rifle de batalha com câmara em 7,62x51mm (ou .308 Winchester), baseado no projeto FN FAL, e é conhecido por sua confiabilidade, poder e flexibilidade para vários papéis, desde assalto ao Marksman Rifle Designado (DMR). Criado pela DS Arms (DSA), o SA58 oferece recursos como trilhos Picatinny, mobiliário moderno e um estoque ajustável para modernizar a plataforma FAL original para aplicações civis e militares.",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_VSK94_N","VSK-94","VSK-94","VSK-94","VSK-94","ВСК-94","VSK- 94","VSK- 94","VSK-94","VSK-94","VSK-94","VSK-94号机车","VSK-94の特長","VSK- 94",
"STR_BC_VSK94_N_B","VSK-94 | Black","VSK-94 | Black","VSK-94","VSK-94 Schwarz","ВСК-94 | Черный","VSK- 94","VSK- 94 WY124; fekete","VSK-94 | Nero","VSK-94","Noir","VSK-94 常规","VSK-94 | ブラック","VSK-94",
"STR_BC_VSK94_D","The VSK-94 9x39 (Voyskovoy Snayperskiy Kompleks - 'Military Sniper Complex') is a marksman rifle designed on the base of the 9A-91 assault rifle as a cheaper alternative to the VSS 'Vintorez'. The silencer, unlike the VSS, is not integrated, which allows the rifle to be used without it if needed.","The VSK-94 9x39 (Voyskovoy Snayperskiy Kompleks - 'Military Sniper Complex') is a marksman rifle designed on the base of the 9A-91 assault rifle as a cheaper alternative to the VSS 'Vintorez'. The silencer, unlike the VSS, is not integrated, which allows the rifle to be used without it if needed.","VSK-94 9x39 (Voyskovoy Snayperskiy Kompleks - ""Vojenský odstřelovací komplex"") je střelná puška navržená na základně útočné pušky 9A-91 jako levnější alternativa k VSS 'Vintorez'. Tlumič, na rozdíl od VSS, není integrován, což umožňuje použití pušky bez ní v případě potřeby.","Der VSK-94 9x39 (Voyskovoy Snayperskiy Kompleks - 'Military Sniper Complex') ist ein Markergewehr auf der Basis des 9A-91 Assaultgewehres als billigere Alternative zum VSS 'Vintorez'. Der Schalldämpfer ist im Gegensatz zum VSS nicht integriert, wodurch das Gewehr bei Bedarf ohne ihn genutzt werden kann.","VSK-94 9x39 (Voyskovoy Snayperskiy Kompleks — «Военный снайперский комплекс») — стрелковая винтовка, разработанная на базе штурмовой винтовки 9A-91 в качестве более дешевой альтернативы VSS «Винторез». Глушитель, в отличие от VSS, не интегрирован, что позволяет использовать винтовку без него при необходимости.","VSK- 94 9x39 (Voyskovoy Snayperskiy Kompleks - ""Wojskowy Sniper Complex"") to karabin strzelecki zaprojektowany na bazie karabinu 9A-91 jako tańsza alternatywa dla VSS 'Vintorez. Tłumik, w przeciwieństwie do VSS, nie jest zintegrowany, co pozwala na użycie karabinu bez niego w razie potrzeby.","A VSK-94 9x39 (Voyskovoy Snayperskiy Kompleks - ""Military Sniper Complex"") egy mesterlövész puska, amelyet a 9A91-es vadászpuska alján terveztek a VSS ""Vintorez"" olcsóbb alternatívájaként. A hangtompító, ellentétben a VSS, nem integrált, amely lehetővé teszi a puska használata nélkül, ha szükséges.","Il VSK-94 9x39 (Voyskovoy Snayperskiy Kompleks - 'Military Sniper Complex') è un fucile da caccia disegnato sulla base del fucile 9A-91 come alternativa più economica al VSS 'Vintorez'. Il silenziatore, a differenza del VSS, non è integrato, che consente di utilizzare il fucile senza di esso se necessario.","El VSK-94 9x39 (Voyskovoy Snayperskiy Kompleks - 'Military Sniper Complex') es un rifle de tiradores diseñado en la base del rifle de asalto 9A-91 como una alternativa más barata al VSS 'Vintorez'. El silenciador, a diferencia del VSS, no está integrado, lo que permite que el rifle se utilice sin él si es necesario.","Le VSK-94 9x39 (Voyskovoy Snayperskiy Kompleks - ""Military Sniper Complex"") est un fusil de tir conçu sur la base du fusil d'assaut 9A-91 comme une alternative moins chère au VSS ""Vintorez"". Le silencieux, contrairement au VSS, n'est pas intégré, ce qui permet d'utiliser le fusil sans celui-ci si nécessaire.","VSK-94 9x39 (Voyskovoy Snayperskiy Kompleks-""军用狙击复合"")是一款枪手步枪,以9A-91突击步枪为底部设计,作为VSS""文托雷斯""更便宜的替代品. 消音器与VSS不同,没有集成,这使得步枪在需要时可以不用.","VSK-94 9x39(Voyskovoy Snayperskiy Kompleks - 'Military Sniper Complex')は、9A-91アサルトのベースに設計されたマークマンのライフルで、VSS 'Vintorez'のより安価な代替品です。 VSS とは異なり、サイレンサーは統合されていないため、必要に応じてライフルを使わせます。","O VSK-94 9x39 (Voyskovoy Snayperskiy Kompleks - 'Military Sniper Complex') é um rifle de tiro desenhado na base do rifle de assalto 9A-91 como uma alternativa mais barata ao VSS 'Vintorez'. O silenciador, ao contrário do VSS, não está integrado, o que permite que o rifle seja usado sem ele, se necessário.",
"STR_BC_VSK94_Magazine_N","20rd VSK-94 Magazine","20rd VSK-94 Magazine","20rd VSK-94 Magazine","20. VSK-94 Magazin","20-й журнал ВСК-94","20rd VSK- 94 Magazine","20rd VSK- 94 Magazine","20a rivista VSK-94","20rd VSK-94 Magazine","20e magazine VSK-94","第二十本VSK-94杂志","第20回VSK-94マガジン","20a Revista VSK-94",
"STR_BC_VSK94_Magazine_D","20 9x39 Rounds Magazine for the VSK-94","20 9x39 Rounds Magazine for the VSK-94","20 9x39 Rounds Magazine for the VSK-94","20 9x39 Runden Magazin für den VSK-94","20 9x39 Rounds Magazine для ВСК-94","20 9x39 Rounds Magazine for the VSK- 94","20 9x39 Kerekek magazin a VSK- 94-hez","20 9x39 Rounds Magazine per il VSK-94","20 9x39 Rounds Magazine for the VSK-94","20 9x39 Rounds Magazine pour le VSK-94","20 9x39 轮回 VSK-94 杂志","20 9x39 VSK-94のラウンドマガジン","20 9x39 Revista Rounds para o VSK-94",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_50BMGDeagle_N",".50 BMG Deagle",".50 BMG Deagle",".50 BMG Deagle",".50 BMG Deagle","50 BMG Deagle",".50 BMG Deagle",".50 BMG Deagle",".50 BMG Deagle",".50 BMG Deagle","50 BMG Deagle","50 BMG 迪格尔",".50 BMG Deagleの",".50 BMG Deagle",
"STR_BC_50BMGDeagle_D","it doesnt need any explanation, its a deagle and it shoots 50 bmg, SO WHAT?","it doesnt need any explanation, its a deagle and it shoots 50 bmg, SO WHAT?","Nepotřebuje vysvětlení, je to deagle a střílí 50 bmg, takže co?","es braucht keine Erklärung, sein Deagle und es schießt 50 bmg, SO WAS?","Он не нуждается в объяснении, его орёл и он стреляет 50 мг, так что?","Nie potrzebuje żadnego wyjaśnienia, jego głuchota i strzela 50 bmg, więc co?","Nincs szükség magyarázatra, ez egy deagle és lő 50 bmg, és akkor mi van?","Non ha bisogno di alcuna spiegazione, il suo deagle e spara 50 bmg, quindi che cosa?","no necesita ninguna explicación, su deagle y dispara 50 bmg, ¿Y qué?","Il n'a pas besoin d'explication, son un diagle et il tire 50 bmg, alors QUOI?","它不需要任何解释, 它的迪格尔和它拍摄50 bmg,所以什么?","それは、任意の説明を必要としません, そのダワシとそれは50のbmgを撮影, そう何?","ele não precisa de qualquer explicação, é um deagle e atira 50 bmg, E daí?",
"STR_BC_50BMGDeagle_Magazine_N","7rd .50BMG Deagle Magazine","7rd .50BMG Deagle Magazine","7rd. 50BMG Deagle Magazine","7.50BMG Deagle Magazine","7-й журнал .50BMG Deagle","7rd. 50BMG Deagle Magazine","7rd .50BMG Deagle Magazine","7rd .50BMG Deagle Magazine","7rd .50BMG Deagle Magazine","7e .50BMG Deagle Magazine","第七本.50BMG Deagle杂志","7rd .50BMG Deagleマガジン","7rd .50BMG Deagle Magazine",
"STR_BC_50BMGDeagle_Magazine_D","7 .50 BMG Rounds Magazine for the .50BMG Deagle","7 .50 BMG Rounds Magazine for the .50BMG Deagle","7. 50 BMG Rounds Magazine pro .50BMG Deagle","7.50 BMG Rounds Magazine für den .50BMG Deagle","7.50 BMG Rounds Magazine для .50BMG Deagle","7. 50 BMG Rounds Magazine dla .50BMG Deagle","7 .50 BMG Kerekek Magazine az .50BMG Deagle","7 .50 BMG Rounds Magazine per il .50BMG Deagle","7 .50 BMG Rounds Magazine for the .50BMG Deagle","7 .50 BMG Rounds Magazine pour le .50BMG Deagle","7:50 BMG 圆形杂志,供 .50BMG Deagle","7 .50 BMGラウンド .50BMG Deagleのための雑誌","7 .50 Revista BMG Rounds para o Deagle .50BMG",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_M32Milkor_N","M32 Milkor MGL","M32 Milkor MGL","M32 Milkor MGL","M32 Milch MGL","M32 Milkor MGL","M32 Milkor MGL","M32 Milkor MGL","M32 Milkor MGL","M32 Milkor MGL","M32 Laitier MGL","M32 米尔克MGL","M32 ミルク MGL","M32 Milker MGL",
"STR_BC_M32Milkor_N_T","M32 Milkor MGL | Tan","M32 Milkor MGL | Tan","M32 Milkor MGL PHARMAN124; Tan","M32 Milkor MGL | Tan","M32 Milkor MGL - Тан","M32 Milkor MGL","M32 Milkor MGL","M32 Milkor MGL | Tan","M32 Milkor MGL Silencio Tan","M32 Laiteur MGL , Tan","M32 Milkor MGL Tan (英语).","M32 ミルク MGL | タン","M32 Milkor MGL",
"STR_BC_M32Milkor_D","The M32 Milkor is the U.S. designation for the Milkor MGL-140 (Multiple Grenade Launcher), a 40mm, six-shot revolver-type grenade launcher developed and manufactured in South Africa. Also known as the M32 MSGL (Multi-shot Grenade Launcher), it can fire six high-explosive grenades in under three seconds.","The M32 Milkor is the U.S. designation for the Milkor MGL-140 (Multiple Grenade Launcher), a 40mm, six-shot revolver-type grenade launcher developed and manufactured in South Africa. Also known as the M32 MSGL (Multi-shot Grenade Launcher), it can fire six high-explosive grenades in under three seconds.","M32 Milkor je americké označení pro Milkor MGL-140 (vícečetný granát Launcher), 40mm, šestiránový revolvertype granátomet vyvinutý a vyráběný v Jižní Africe. Také známý jako M32 MSGL (Multi- shot Grenade Launcher), může střílet šest vysoce výbušných granátů do tří sekund.","Der M32 Milkor ist die US-Bezeichnung für den Milkor MGL-140 (Multiple Grenade Launcher), ein 40mm, sechs-shot Revolver-Typ Granate Launcher entwickelt und hergestellt in Südafrika. Auch bekannt als M32 MSGL (Multi-shot Grenade Launcher), kann es sechs hochexplosive Granaten in weniger als drei Sekunden feuern.","M32 Milkor является американским обозначением для Milkor MGL-140 (Multiple Grenade Launcher), 40-мм, шестизарядный гранатомет револьверного типа, разработанный и изготовленный в Южной Африке. Также известный как M32 MSGL (Multi-shot Grenade Launcher), он может стрелять шестью фугасными гранатами менее чем за три секунды.","M32 Milkor jest amerykańskim oznaczeniem Milkor MGL- 140 (Wyrzutnia wielokrotnych granatów), 40 mm, sześć-strzałów wyrzutni granatów typu rewolucyjnego opracowanych i wyprodukowanych w Republice Południowej Afryki. Znany również jako M32 MSGL (Wielostrzałowy Wyrzutnia Granatu), może wystrzelić sześć wysokowybuchowych granatów w mniej niż trzy sekundy.","Az M32 Milkor a Milkor MGL-140 (Multiple Grenade Launcher), egy 40 mm-es, hatlövetű, revolvertípusú gránátvető, Dél-Afrikában kifejlesztett és gyártott amerikai jelzése. Más néven az M32 MSGL (Multi- shot Gránát indító), akkor tűz hat magas robbanásveszélyes gránátok 3 másodperc alatt.","Il Milkor M32 è la designazione degli Stati Uniti per il Milkor MGL-140 (Multiple Grenade Launcher), un lanciagranate da 40mm, a sei colpi di revolver, sviluppato e prodotto in Sud Africa. Conosciuto anche come M32 MSGL (Multi-shot Grenade Launcher), può sparare sei granate ad alta esplosione in meno di tre secondi.","El M32 Milkor es la designación de EE.UU. para el lanzagranadas Milkor MGL-140 (Multiple Grenade Launcher), un lanzador de granadas de 40mm de seis disparos desarrollado y fabricado en Sudáfrica. También conocido como M32 MSGL (Multi-shot Grenade Launcher), puede disparar seis granadas de alto contenido en menos de tres segundos.","Le M32 Milkor est la désignation américaine du MGL-140 (Multiple Grenade Launcher), un lance-grenades de type revolver de 40 mm, développé et fabriqué en Afrique du Sud. Aussi connu sous le nom de M32 MSGL (Multi-shot Grenade Launcher), il peut tirer six grenades à forte explosion en moins de trois secondes.","M32 Milkor是美国对Milkor MGL-140(多发榴弹发射器)的命名,是一款由南非研发并制造的40毫米六发左轮榴弹发射器. 又名M32 MSGL(多发榴弹发射器),能于三秒内发射出六枚高爆榴弹.","M32 Milkor は、MGL-140 (Multiple Grenade Launcher)、40mm、南アフリカで開発・製造された6ショットレボルバー型グレナードランチャーのための米国指定です。 また、M32 MSGL(マルチショットGrenade Launcher)とも呼ばれ、6つの高爆発性グレナデスを3秒以内に発射することができます。","A Milkor M32 é a designação dos EUA para o Milkor MGL-140 (Multiple Granada Launcher), um lançador de granadas de tipo seis tiros de 40mm desenvolvido e fabricado na África do Sul. Também conhecido como MSGL M32 (Multi-shot Granada Launcher), ele pode disparar seis granadas de alta explosão em menos de três segundos.",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_Bttstck_AMB17_Buttstock_N","AMB-17 Buttstock","AMB-17 Buttstock","AMB- 17 Buttstock","AMB-17 Buttstock","AMB-17 Бутсток","AMB- 17 Buttstock","AMB- 17 Buttstock","AMB-17 Buttstock","AMB-17 Buttstock","AMB-17 Buttstock","AMB-17 巴特斯托克语Name","AMB-17 バットストック","AMB-17 Buttstock",
"STR_BC_Bttstck_AMB17_Buttstock_D","AMB-17 Buttstock","AMB-17 Buttstock","AMB- 17 Buttstock","AMB-17 Buttstock","AMB-17 Бутсток","AMB- 17 Buttstock","AMB- 17 Buttstock","AMB-17 Buttstock","AMB-17 Buttstock","AMB-17 Buttstock","AMB-17 巴特斯托克语Name","AMB-17 バットストック","AMB-17 Buttstock",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_Bttstck_ASValStockAdapter_N","AS-VAL ButtStock Adapter","AS-VAL ButtStock Adapter","AS- VAL ButtStock adaptér","AS-VAL ButtStock Adapter","Адаптер AS-VAL ButtStock","Adapter AS- VAL ButtStock","AS- VAL ButtStock adapter","Adattatore a sfere AS-VAL","Adaptador AS-VAL ButtStock","Adaptateur de buttStock AS-VAL","AS- VAL 巴特斯托克适应器","AS-VALバットストックアダプタ","Adaptador AS-VAL ButtStock",
"STR_BC_Bttstck_ASValStockAdapter_D","AS-VAL Adapter for M4 Buttstocks","AS-VAL Adapter for M4 Buttstocks","AS-VAL adaptér pro M4 Buttstocks","AS-VAL Adapter für M4 Buttstocks","AS-VAL адаптер для M4 Buttstocks","AS- VAL Adapter for M4 Buttstocks","AS- VAL adapter az M4-es Buttstock-hoz","Adattatore AS-VAL per Macelleria M4","Adaptador AS-VAL para M4 Buttstocks","Adaptateur AS-VAL pour Buttstocks M4","M4 Buttstocks的AS-VAL适配器","M4のbuttstocksのためのAS-VALのアダプター","Adaptador AS-VAL para M4 Buttstocks",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_Bttstck_GEVAR_Buttstock_N","Gevar .338 Buttstock","Gevar .338 Buttstock","Gevar .338 Buttstock","Gevar .338 Buttstock","Гевар .338 Бутсток","Gevar .338 Buttstock","Gevar .338 Buttstock","Gevar .338 Buttstock","Gevar .338 Buttstock","Gevar .338 Buttstock","Gevar 338 巴特斯托克","Gevar .338 バットストック","Gevar.338 Buttstock",
"STR_BC_Bttstck_GEVAR_Buttstock_D","Special Buttstock made only for the Gevar .338","Special Buttstock made only for the Gevar .338","Speciální Buttstock vyrobený pouze pro Gevar .338","Special Buttstock nur für die Gevar gemacht .338","Специальный бутсток сделан только для Gevar .338","Specjalny Buttstock wykonany tylko dla Gevar .338","Különleges Buttstock kizárólag a Gevar .338-as","Special Buttstock realizzato solo per il Gevar .338","Buttstock especial hecho sólo para el Gevar .338","Special Buttstock fait seulement pour le Gevar .338","专为格瓦尔人制造的特制布托克 338","Gevar .338 のために作られた特別なbuttstock","Buttstock especial feito apenas para o Gevar .338",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_Bttstck_SA58_Buttstock_N","SA-58 Buttstock","SA-58 Buttstock","SA- 58 Buttstock","SA-58 Buttstock","SA-58 Buttstock","SA- 58 Buttstock","SA- 58 Buttstock","SA-58 Buttstock","SA-58 Buttstock","SA-58 Buttstock","SA-58 巴特斯托克号","SA-58 バットストック","SA-58 Buttstock",
"STR_BC_Bttstck_SA58_Buttstock_D","Buttstock for FAL Modules","Buttstock for FAL Modules","Buttstock pro FAL moduly","Buttstock für FAL Module","Бутсток для FAL-модулей","Przycisk dla modułów FAL","A FAL modulokhoz tartozó gombok","Buttstock per moduli FAL","Buttstock for FAL Modules","Buttstock pour les modules FAL","FAL 模块的 Buttstock","FALモジュール用バットストック","Buttstock para módulos FAL",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_Bttstck_ASVAL_Buttstock_N","AS-VAL Buttstock","AS-VAL Buttstock","AS- VAL Buttstock","AS-VAL Buttstock","AS-VAL Buttstock","AS- VAL Buttstock","AS- VAL Buttstock","AS-VAL Buttstock","As-VAL Buttstock","Bouteille AS-VAL","AS-VAL 巴特斯托克","AS-VAL バットストック","AS-VAL Buttstock",
"STR_BC_Bttstck_ASVAL_Buttstock_D","AS-VAL Unique Buttstock","AS-VAL Unique Buttstock","AS-VAL Unique Buttstock","AS-VAL Unique Buttstock","AS-VAL - уникальный бутсток","AS- VAL Unikalny przycisk","AS- VAL Unique Buttstock","AS-VAL Buttstock unico","AS-VAL Botín único","AS-VAL Unique Buttstock","AS-VAL 独有的巴特斯托克","AS-VAL 独自のバターストック","AS-VAL Buttstock Único",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_Hndgrd_GEVAR_N","Gevar Handguard","Gevar Handguard","Gevar Handguard","Handgarde der Stadt","Гевар Хэндгард","Gevar Handguard","Gevar Handguard","Gevar Handguard","Gevar Handguard","Garde-main Gevar","Gevar 手卫","ゲヴァル・ハンドガード","Gevar Handguard",
"STR_BC_Hndgrd_GEVAR_D","Unique Gevar Handguard","Unique Gevar Handguard","Unikátní Gevar Handguard","Unique Gevar Handguard","Уникальный Gevar Handguard","Unikalna osłona Gevar","Egyedi Gevar Handguard","Protezione unica Gevar","Unique Gevar Handguard","Garde-main Gevar unique","独特的格瓦尔手卫","ユニークな Gevar ハンドガード","Guarda-mão Gevar Única",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_Hndgrd_SA58_N","SA-58 Handguard","SA-58 Handguard","SA- 58 Hlídač","SA-58 Handguard","SA-58 Хранитель","SA- 58 Handguard","SA- 58 Kézvédők","SA-58 Handguard","SA-58 Handguard","SA-58 Garde-mains","SA-58 手卫","SA-58ハンドガード","SA-58 Guarda-mão",
"STR_BC_Hndgrd_SA58_D","Unique SA-58 Handguard","Unique SA-58 Handguard","Unikátní SA- 58 Handguard","Einzigartige SA-58 Handschutz","Уникальный SA-58 Handguard","Unikalna osłona ręczna SA- 58","Egyedi SA- 58 Handguard","Paramani unica SA-58","Unique SA-58 Handguard","Unique SA-58 Handguard","独特的SA-58 手卫","ユニークなSA-58ハンドガード","Guarda de mão SA-58 exclusiva",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
